vendor_id,qb_id,company_name,address,address2,city,zip_pin_code,country
458801,2693,1and1.com,,,,,
458802,2784,,,,,,
458803,2804,,,,,,
458804,3075,A Better Choice Installations,,,,,
458805,2829,,,,,,
458806,2975,,,,,,
458807,2914,,,,,,
458808,2906,AGRONIC FOOD INC.,"8, BHAGAT KI KOTHI EXTENSION",OPP NEW CAMPUS,INDIA-342001,,
458809,2874,,,,,,
458810,3117,ALGOLIA Inc_ ALG RAHU,,,,,
458811,3035,,,,,,
458812,2667,,,,,,
458813,3147,,,,,,
458814,2968,American National,,,,,
458815,3030,,,,,,
458816,2860,,,,,,
458817,3141,,,,,,
458818,2681,,,,,,
458819,2883,Audi Financial Services,,,,,
458820,3148,,,,,,
458821,3049,AVERITT EXPRESS INC,,,"P.O. BOX 3145 COOKEVILLE,",38502-3145,
458822,2982,,"4950, Stevenson Bldv.,",,Fremont,,
458823,2687,,,,,,
458824,3116,,,,,,India
458825,2910,,,,,,
458826,2971,,,,,,USA
458827,2995,,,,,,
458828,2923,,,,,,
458829,2851,AliExpress,Aliexpress,,,,
458830,3139,All Out Modular,,,,,
458831,2785,,,,,,
458832,2888,,,,,,
458833,2806,,,,,,
458834,2958,,,,,,
458835,2900,,,,,,
458836,2998,,,,,,
458837,2980,,"37950, Blvd.,",Fremont,Fremont,94536,USA
458838,2913,,ANresco,,,,
458839,3160,Apna Bazar Farmers Market,1111 W El Camino Real,Suite-107,Sunnyvale,94087,USA
458840,2694,AptHost.com,,,,,
458841,3046,Arche Advisors,1659 W. Chateau Circle,,St. George,84770,
458842,2685,,,,,,
458843,2944,,,,,,
458844,2937,Asura Risk Insurance Services,Asura Risk Management,"12657, Alcosta Blvd",San Ramon,94583,
458845,2767,AT&T,,,,,
458846,2870,B & W Global,,,,,
458847,2850,B A PArtners,,,,,
458848,3066,,,,,,
458849,3073,BARR INC,,,,,
458850,2666,,,,,,
458851,3118,,,,,,
458852,3119,,,,,,
458853,2696,Bikanervala Foods Private Limited,"A-28, Lawrence Road, Industrial Area,",Delhi,New Delhi,110035,India
458854,2695,Bank of India,Bank Of India,"555, California Street, Suite # 4646,",San Francisco,94104,
458855,2727,,,,,,
458856,2946,,,,,,
458857,2911,,,,,,
458858,3062,,,,,,
458859,2848,,,,,,
458860,2855,,,,,,
458861,2872,,,,,,
458862,2879,Big Joe Handling Systems,"25932 Eden Landing Rd,",,Hayward,94545,USA
458863,2947,,,,,,
458864,2822,,,,,,
458865,3134,Blue Shield of California,EL Dorado Hills  CA,,PO Box,629032,
458866,3018,,"4719, Roseway",,Union City,94578,
458867,2932,Bluestar Transportation,,,,,
458868,2882,Bollywood Events,,,,,
458869,2901,BreanLaw,PO Box 4120,ECM # 72065,Portland,97208,
458870,2661,,,,,,
458871,2779,,,,,,
458872,2912,,,,,,
458873,2777,,,,,,
458874,2674,,,,,,
458875,2984,CDS (Club Demonstration Services Inc),,,,,
458876,2678,,,,,,
458877,2646,,,,,,
458878,2974,CHEP USA,,,,,USA
458879,3171,,,,,,
458880,3031,,,,,,
458881,3079,,,,,,
458882,2720,,,,,,
458883,2959,,,,,,
458884,2675,,,,,,
458885,3123,Guangzhou Cryo Systems Refrigeration,Co Ltd,,Equipment,,
458886,2788,,,,,,
458887,2818,,,,,,
458888,3140,,,,,,
458889,2956,,,,,,
458890,2775,,,,,,
458891,2653,,,,,,
458892,2961,Chugh LLP,,,,,
458893,2953,,,,,,
458894,2800,,,,,,
458895,2835,,,,,,
458896,2697,City of Hayward,,,,,
458897,3006,,,,,,
458898,2698,City of San Ramon,,,,,
458899,2915,,,,,,
458900,2828,,,,,,
458901,3131,FYVE Elements LLC,,,,,
458902,3176,CONCRETE DRILING SOLUTION,,,,,
458903,3184,,,,,,
458904,3138,Gold Coast Distributors Inc,2325 W Charter Way,,Stockton,95206,USA
458905,3137,Jaymin Enterprises Corp,,,,,
458906,3136,SURATI CA LLC,"4807-4813, Davenport Place Fremont",,,94538,
458907,3177,K K Trader's,4313 Victoria Ave,Union City,,94587,
458908,3016,Everest Food Products Pvt. Ltd.,"5th Floor, Krushal Commercial Complex,","G. M. Road, Amar Mahal,",Mumbai,400089,India
458909,2703,Indian Bites,"Kalyani Point, Near Tulsi Cinema","Bye Pass Road,",Agra,282005,India
458910,2918,,,,,,
458911,2839,,,,,,
458912,2758,,,,,,
458913,2728,,,,,,
458914,2812,,,,Corwood Car,,
458915,2726,Costco (Vendor),Costco,,,,
458916,2837,,,,,,
458917,2916,,,,,,
458918,2814,,,,,,
458919,3027,"DAIEME COSMETIC CO.,LTD","No.2 Baihaimian Industrial Park,",,Junhe Baiyun District,510540,China
458920,3111,,,,,,
458921,3091,DCT Cherry St Prologis,,,,,
458922,2781,,,,,,
458923,2745,,,,,,
458924,2854,,,,,,
458925,3101,,,,,,
458926,2940,,,,,,
458927,3060,,,,,,
458928,3112,,,,,,
458929,2955,,,,,,
458930,2842,,,,,,
458931,2743,,,,,,
458932,2981,,Mr. David,"36707 San Pedro,",Fremont,94536,USA
458933,3084,,,,,,
458934,3000,,,,,,
458935,2950,,,,,,
458936,3097,,,,,,
458937,2786,,,,,,
458938,3044,ECU WORLDWIDE,,,"2401 NW 69 STREET Miami,",33147,
458939,3032,,,,,,
458940,3033,,,,,,
458941,2746,,,,,,
458942,2875,,,,,,
458943,2789,,,,,,
458944,2774,,,,,,
458945,2861,,,,,,
458946,3038,,,,,,
458947,2852,,,,,,
458948,2925,,,,,,
458949,3034,,,,,,
458950,2670,,,,,,
458951,3086,,,,,,
458952,3039,,,,,,
458953,2701,Franchise Tax Board,,,,,
458954,2920,,,,,,
458955,2699,Fancy Food Show,,,,,
458956,2742,,,,,,
458957,2741,,,,,,
458958,2757,,,,,,
458959,2700,FedEx Inc,,,,,
458960,2658,,,,,,
458961,2990,,,,,,
458962,2721,,,,,,
458963,2962,,"21781 Ventura Blvd,",Unit 655,Woodland Hills,91364,
458964,2934,,,,,,
458965,2733,,,,,,
458966,2919,,,,,,
458967,2688,Freepik & Flaticon,,,,,
458968,2876,,,,,,
458969,2843,,,,,,
458970,2795,,,,,,
458971,3001,,,,,,
458972,3050,GLS US,,,"P.O. BOX 1907 SAN RAMON,",94583,
458973,3088,,,,,,
458974,3124,,,,,,
458975,2672,,,,,,USA
458976,2859,Golden State Overnight,,,,,
458977,2979,Gilberto Gonzalez,Mr. Gilberto Gonzalez,10 Coleman Pl.,Menlo Park,94025,USA
458978,2702,GoDaddy,,,,,
458979,3026,Gold Star Trade Links,"K-1, Senior Mall, Sec-18",,Noida,201301,India
458980,2823,,,,,,
458981,2680,Goodwin Procter LLP,Counselors at Law,601 Marshall Street,94063,,
458982,2744,,,,,,
458983,2943,Gopaljee Dairy Food Pvt Ltd,GopalJee Dairy Food pvt Ltd,Mr. Radhey Shyam Dixit,Noida,201307,India
458984,2807,,,,,,
458985,2684,,,,,,
458986,2896,,,,,,
458987,3155,,,,,,
458988,3181,,,,,,
458989,2644,,,,,,
458990,2978,,,,,,
458991,2853,HERTZ,,,,,
458992,3087,,,,,,
458993,2929,Heitz Trucking INC.,"Heitz Trucking INC.,",PO Box 3330,Yuba City,95992,USA
458994,3070,,,,,,
458995,2665,,,,,,
458996,2993,,,,,,
458997,2799,,,,,,
458998,2724,,,,,,
458999,3077,I&A Architect INC,,,,,
459000,3142,,,,,,
459001,2673,,,,,,
459002,3172,,,,,,
459003,3090,INDIYUM FOODS PVT LTD,"HSIIDC, Plot No. 2002, Phase-II, Sec-38,","Haryana, Code : 06",,,
459004,3120,,,,,,
459005,3037,,,,,,
459006,3096,,,,,,
459007,2856,,,,,,
459008,2747,,,,,,
459009,3132,In Step LLC,47913 Warm Springs Blvd,Ca,Fremont,94539,
459010,2963,,,,,,
459011,3058,,,,Indfoss Refrigeration of Servic,,
459012,2819,,,,,,
459013,2817,,,,,,
459014,2999,,,,,,
459015,3105,,,,,,
459016,2739,,,,,,
459017,2862,,,,,,
459018,2782,,,,,,
459019,2985,International Logistics Associates,,,,,
459020,2704,Intuit Quickbooks,,,,,
459021,3045,IronPlanet,5667 Gibraltar Drive,Suite 200,Pleasanton,94588,
459022,3151,Iyer Architect,,,,,
459023,2881,J C Ayur Life LLC,17352 Yorkshire Ave,,Yorba Linda,92866,USA
459024,3024,J Classic Distribution Inc,2322 S Vineyard Ave,,Ontario,91761,USA
459025,2939,,JLP,,,,
459026,3022,,,,,,
459027,3002,,,,,,
459028,2794,,,,,,
459029,2750,Jay Seas Private Limited,"WZ - 3158 Mohindera Park,",New Delhi -,Rani Bagh,110034,India
459030,2905,JaySeas Inc,39812 Mission Blvd Ste 115,,Fremont,94539,USA
459031,3080,,,,,,
459032,3130,,,,,,
459033,2679,,,,,,
459034,2942,,,,,,
459035,2760,,,,,,
459036,2692,,,,,,
459037,3113,,,,,,
459038,3094,KELVIN Carrasco Electric,,,,,
459039,3149,,,,,,
459040,3081,,,,,,
459041,2987,Karishma Metal Industries Pvt Ltd,,,,,
459042,3023,Kejriwal Bee Care India Pvt Ltd,W-42 Greater Kailash,,New Delhi -,110048,India
459043,2949,Ketki International,,,,,
459044,2945,,,,,,
459045,2868,,,,,,
459046,3020,,,,,,
459047,3040,,,,,,
459048,3143,,,,,,
459049,2951,,,,,,
459050,2740,,,,,,
459051,3106,,,,,,
459052,2927,,,,,,
459053,2738,,,,,,
459054,2844,,,,,,
459055,3162,,,,,,
459056,2683,,,,,,
459057,3121,,,,,,
459058,3072,"MR Engineering Consultants, Inc.",Fremont,,"39210, State Street, Suite 106",,
459059,3163,,,,,,
459060,2718,,,,,,
459061,3019,,,,,,
459062,2890,Mailjet,,,,,
459063,2659,,,,,,
459064,2668,,,,,,
459065,2656,,,,,,
459066,2967,Janitorial Service,"1423 168th Ave.,",,San Leandro,94578,USA
459067,2792,,,,,,
459068,2657,,,,,,
459069,2759,,,,,,
459070,3003,,,,Miami Walk,,
459071,2766,,,,,,
459072,2902,,,,,,
459073,2730,,,,,,
459074,2904,,,,,,
459075,3005,,,,,,
459076,3057,,,,,,
459077,2898,Monarch Truck,195 N 30th Streetr,,San Joser,95116,
459078,2645,,,,,,
459079,2992,,,,Mukesh Raj &,,
459080,2765,,,,,,
459081,2754,,,,,,
459082,3029,,,,,,
459083,3145,,,,,,
459084,3008,,,,,,
459085,3146,,,,,,
459086,3135,NT Bay Area Construction,,,,,
459087,2847,,NAan & Curry,,,,
459088,2755,,,,,,
459089,3164,,,,,,
459090,3015,Namecheap.com,,,,,
459091,2933,,,,,,
459092,3004,,,,,,
459093,2662,,,,,,
459094,2654,,,,,,
459095,2810,,,,,,
459096,2691,,,,,,
459097,3098,OAK Shipping Services Pvt Ltd,"D-30, 2nd Floor, Acharya Niketan,","Matur Vihar Ph-I,",New Delhi,110091,
459098,2948,,,,,,
459099,3108,,,,,,
459100,2841,,,,,,
459101,2716,,,,,,
459102,3068,,,,,,
459103,2899,,,,,,
459104,2811,,,,,,
459105,3179,Organizer Club,,,,,
459106,3174,,,,,,
459107,3021,,,,,,
459108,3114,,,,,,
459109,3153,PD International Inc,,,,,
459110,3043,,,,,,
459111,2763,,,,,,
459112,2938,,,,,,
459113,3061,,,,,,
459114,3178,,,,,,
459115,3128,,,,,,
459116,3115,,,,,,
459117,2880,,,,,,
459118,2771,,,,,,
459119,2867,,,,,,
459120,2773,,,,,,
459121,2846,,,,,,
459122,2764,,,,,,
459123,2769,,,,,,
459124,2891,,,,,,
459125,2652,,,,,,
459126,3042,,,,,,
459127,2917,,,,,,
459128,2924,,,,,,
459129,2808,,,,,,
459130,2895,Priceline.com,Priceline,,,,
459131,2715,,,,,,
459132,3048,,,,,,
459133,3103,,,,,,
459134,3167,,,,,,
459135,3012,,,,,,
459136,3052,Promisca Lifecare LLP,"Plot No.-35, Sector-7,","IMT Manesar, Gurugram - 122050","State Name : Haryana, Code : 06",,
459137,2714,Punjab Trading Inc,"104 49th St NW, Suite #102",,Auburn,98001,USA
459138,3013,,,,,,
459139,2801,,,,,,
459140,2897,,,,,,
459141,2787,,,,,,
459142,3154,R&D Technology,,,,,
459143,2931,,,,RB,,
459144,3063,,,,,,
459145,2643,,,,,,
459146,3183,,,,,,
459147,2717,,,,,,
459148,3074,,,,,,
459149,2778,,,,,,
459150,2976,Victoria Foods Pvt Ltd,Rajdhani,,,,
459151,2957,,"Artesia, Los Angeles",,,,
459152,2664,Rakesh Kumar,HeartyyFresh,,,,
459153,2748,,,,,,
459154,2651,,,,,,
459155,2966,,,,,,
459156,2798,,,,,,
459157,2884,Republic Services,Fremont,,,,
459158,2797,,,,,,
459159,3076,,,,,,
459160,3083,,,,,,
459161,2893,Rinco International Inc.,22950 Clawiter Road,,Hayward,94545,
459162,2723,,,,,,
459163,3059,,,,,,
459164,2878,Road Runner Glass,Milpitas,,,,
459165,2749,,,,,,
459166,2869,Roshni Foods,Pradeep Singh,,Laurel,20707,USA
459167,2791,,,,,,
459168,3082,,,,,,
459169,2648,,,,,,
459170,2928,,,,,,
459171,3054,S D INTERNATIONAL PVT LTD,"AL18B, 19 Sector-13 , GIDA",Gorakhpur Uttar Pradesh,273209,,
459172,3144,,,,,,
459173,2671,,,,,,
459174,3169,,,,,,
459175,3152,SD BULLION INC,,,,,
459176,2768,,,,,,
459177,3025,,,,,,
459178,3069,,,,,,
459179,2965,SPS Commerce,SpS Commerce,,,,
459180,3078,,,,,,
459181,3125,,,,,,
459182,2682,,,,,,
459183,3085,,,,,,
459184,2737,Surya Food & Agro Limited,,,,,
459185,2805,,,,,,
459186,2894,,,,,,
459187,2836,,,,,,
459188,2762,,,,,,
459189,3010,Sayage Refrigeration,,,,,
459190,2986,SearAir Exim Solution Pvt Ltd,,,,,
459191,2734,,,,,,
459192,3109,,,,,,
459193,2892,Shalimar Restaurant,,,Sunnyvale,,
459194,3150,Seth Weiner Lawyer,,,,,
459195,2761,Shalimar Restaurant Dublin,Shalimar Restaurant,,,,
459196,2970,Sharma Refrigeration,Mr. Sharma,"3742Haven Ave.,",Fremont,94538,USA
459197,2793,,,,,,
459198,3007,,,,,,
459199,3071,Shree Enterprises - PurpleNPink,"204, KRISHNA TOWER",KAMLA NAGAR,AGRA,282005,
459200,2772,,,,,,
459201,2885,SiliconVille Inc,,,,,
459202,2821,,,,,,
459203,3017,Simply Indian,,,,,
459204,2866,Singh & Singh Distribution,"2500 Hamilton Blvd,",,South Plainfield,7080,USA
459205,2722,,,,,,
459206,2845,Sky2C Freight Systems Inc,1500 Atlantic St.,California,Union City,94587,USA
459207,2964,,,,,,
459208,2729,,,,,,
459209,2941,,,,,,
459210,2780,,,,,,
459211,3036,,,,,,
459212,2865,,,,,,
459213,2907,,Speciality Food,,,,
459214,2832,,,,,,
459215,2736,,,,,,
459216,3093,SpryLyfe Medical,14 Inverness Drive E STE B120,United States,Englewood,80112,USA
459217,2756,,,,,,
459218,2660,,,,,,
459219,2676,,"1500 Doolittle Dr,",,San Leandro,94577,
459220,2824,,,,,,
459221,2751,,,,,,
459222,2863,,,,,,
459223,2770,,,,,,
459224,2752,,,,,,
459225,2649,,,,,,
459226,2827,,,,,,
459227,2802,,,,,,
459228,3133,Suntech Integrated Solutions Inc,26844 Lakewood Way,,Hayward,94544,
459229,3047,,,,,,
459230,2952,,,,,,
459231,2826,,,,,,
459232,2663,,,,,,
459233,2830,Surya Fresh Foods Limited,"D-1 Sector 2,",UP,Noida,201301,India
459234,2820,,,,,,
459235,2935,,,,,,
459236,3126,,,,,,
459237,3095,,,,,,
459238,3127,,,,,,
459239,3009,THE HANOVER INSURANCE,,,,,
459240,3170,,,,,,
459241,3122,,,,,,
459242,3107,,,,,,
459243,3067,,,,,,
459244,2816,,,,,,
459245,2753,,,,,,
459246,3166,,,,,,
459247,2849,,,,,,
459248,2873,,"9/31-32 ground Floor,","Subhash Nagar,",New Delhi,110027,India
459249,2825,,,,,,
459250,2838,,,,,,
459251,2712,,,,,,
459252,2732,,,,,,
459253,3175,Test Integration,,,,,
459254,2960,,,,,,
459255,2796,,,,,,
459256,2908,,The Harford,,,,
459257,2831,,,,,,
459258,2997,,,,The Pink,,
459259,2719,,,,,,
459260,2969,The Ultimate Freight Management,"9215 Hall Rd., Downey,",,CA -,90241,USA
459261,2689,,,,,,
459262,2783,,,,,,
459263,3182,,,,,,
459264,2857,,,,,,
459265,2690,,,,,,
459266,2930,,,,,,
459267,2809,,,,,,
459268,2983,Transportation Commodities Inc (TCI),,,,,
459269,3014,,,,,,
459270,3157,,,,,,
459271,3053,Truly Indian Food Co_ Vendor,,,,,
459272,2833,,,,,,
459273,2877,,,,,,
459274,2706,,,,,,
459275,3168,,,,,,
459276,2707,United Parcel Service,,,,,
459277,2834,,,,,,
459278,3041,,,,,,
459279,2926,,UsDA,,,,
459280,2996,,,,,,
459281,2708,United States Postal Service,,,,,
459282,2936,,,,,,
459283,2921,,,,,,
459284,2973,,,,,,
459285,2922,,,,,,
459286,2790,,,,,,
459287,2776,,,,,,
459288,2713,United Basket Company,,,,,
459289,2954,,,,,,
459290,3064,,,,,,
459291,2972,,,,,,
459292,2991,,,,,,
459293,2887,,,,,,
459294,2735,,,,,,
459295,3065,,,,,,
459296,3089,,,,,,
459297,2803,,,,,,
459298,2977,,,,,,
459299,3028,,,,,,
459300,2994,,,,,,
459301,3051,Vhaul4u Inc.,4221 Business Center Drive Suite,# 6,Fremont,94538,USA
459302,3011,,"200 Chabot CT, SUITE 200",,Tracy,95304,
459303,2903,,Virgin america,,,,
459304,2709,VistaPrint.com,,,,,
459305,2655,,,,,,
459306,2710,Vonage.com,,,,,
459307,2864,,,,,,
459308,2711,Walmart,,,,,
459309,3129,,,,,,
459310,2813,,,,,,
459311,2647,,,,,,
459312,3110,Waste Management,,,,,
459313,2815,,,,,,
459314,2731,,,,,,
459315,3056,,,,,,
459316,2686,,,,,,
459317,2871,,,,,,
459318,2840,,,,,,
459319,3102,,,,,,
459320,3173,ZOJENO VENTURES,"107, Jackson St. #120,",Hayward,CA,94544,
459321,3055,Zee Foods,,,,,
459322,3099,,,,,,
459323,3092,,,,Zoom Video Communications,,
459324,2669,,,,,,
459325,2725,eBay Sales_Vendor,,,,,
459326,2989,iGP,,,,,
459327,2886,,,,,,
459328,3185,Rahein Inc,7055 Central Ave,,Newark,94560,USA
459329,3191,,,,,,
459330,3195,,,,,,
459331,3198,,,,,,
459332,3197,,,,,,
459333,3196,,,,,,
459334,3199,Apna Bazaar (Misc Purchase Vendor),,,,,
459335,3230,"Akshar Sales,LLC","4807-4813, Deavenport Place",,Fremont,94538,
459336,3236,Master Butcher,,,,,
459337,3205,,,,,,
459338,3216,,,,,,
459339,3218,,,,,,
459340,3221,,,,,,
459341,3240,Truly Indian Food Co,,,,,